0800 Høje Taastrup
0877 København C
0892 Sjælland USF P
0893 Sjælland USF B
0894 Udbetaling
0897 eBrevsprækken
0899 Kommuneservice
0900 København C
0910 København C
0917 Københavns Pakkecenter
0918 Københavns Pakke BRC
0919 Returprint BRC
0929 København C
0960 Internationalt Postcenter
0999 København C
1000 København K
1001 København K
1002 København K
1003 København K
1004 København K
1005 København K
1006 København K
1007 København K
1008 København K
1009 København K
1010 København K
1011 København K
1012 København K
1013 København K
1014 København K
1015 København K
1016 København K
1017 København K
1018 København K
1019 København K
1020 København K
1021 København K
1022 København K
1023 København K
1024 København K
1025 København K
1026 København K
1045 København K
1050 København K
1051 København K
1052 København K
1053 København K
1054 København K
1055 København K
1055 København K
1056 København K
1057 København K
1058 København K
1059 København K
1060 København K
1061 København K
1062 København K
1063 København K
1064 København K
1065 København K
1066 København K
1067 København K
1068 København K
1069 København K
1070 København K
1071 København K
1072 København K
1073 København K
1074 København K
1092 København K
1093 København K
1095 København K
1098 København K
1100 København K
1101 København K
1102 København K
1103 København K
1104 København K
1105 København K
1106 København K
1107 København K
1110 København K
1111 København K
1112 København K
1113 København K
1114 København K
1115 København K
1116 København K
1117 København K
1118 København K
1119 København K
1120 København K
1121 København K
1122 København K
1123 København K
1124 København K
1125 København K
1126 København K
1127 København K
1128 København K
1129 København K
1130 København K
1131 København K
1140 København K
1147 København K
1148 København K
1150 København K
1151 København K
1152 København K
1153 København K
1154 København K
1155 København K
1156 København K
1157 København K
1158 København K
1159 København K
1160 København K
1161 København K
1162 København K
1163 København K
1164 København K
1165 København K
1165 København K
1166 København K
1167 København K
1168 København K
1169 København K
1170 København K
1171 København K
1172 København K
1173 København K
1174 København K
1175 København K
1200 København K
1201 København K
1202 København K
1203 København K
1204 København K
1205 København K
1206 København K
1207 København K
1208 København K
1209 København K
1210 København K
1211 København K
1212 København K
1213 København K
1214 København K
1215 København K
1216 København K
1217 København K
1218 København K
1218 København K
1218 København K
1218 København K
1218 København K
1218 København K
1219 København K
1220 København K
1221 København K
1240 København K
1250 København K
1251 København K
1252 København K
1253 København K
1254 København K
1255 København K
1256 København K
1257 København K
1258 København K
1259 København K
1259 København K
1260 København K
1261 København K
1263 København K
1263 København K
1264 København K
1265 København K
1266 København K
1267 København K
1268 København K
1270 København K
1271 København K
1291 København K
1300 København K
1301 København K
1302 København K
1303 København K
1304 København K
1306 København K
1307 København K
1307 København K
1308 København K
1309 København K
1310 København K
1311 København K
1312 København K
1313 København K
1314 København K
1315 København K
1316 København K
1317 København K
1318 København K
1319 København K
1320 København K
1321 København K
1322 København K
1323 København K
1324 København K
1325 København K
1326 København K
1327 København K
1328 København K
1329 København K
1349 København K
1350 København K
1352 København K
1353 København K
1354 København K
1355 København K
1356 København K
1357 København K
1358 København K
1359 København K
1359 København K
1360 København K
1361 København K
1361 København K
1362 København K
1363 København K
1364 København K
1365 København K
1366 København K
1367 København K
1368 København K
1369 København K
1370 København K
1371 København K
1400 København K
1400 København K
1401 København K
1402 København K
1402 København K
1402 København K
1402 København K
1402 København K
1403 København K
1404 København K
1406 København K
1407 København K
1408 København K
1409 København K
1410 København K
1411 København K
1411 København K
1412 København K
1413 København K
1414 København K
1415 København K
1416 København K
1417 København K
1418 København K
1419 København K
1420 København K
1421 København K
1422 København K
1423 København K
1424 København K
1425 København K
1426 København K
1427 København K
1428 København K
1429 København K
1430 København K
1431 København K
1432 København K
1432 København K
1432 København K
1433 København K
1433 København K
1433 København K
1433 København K
1433 København K
1433 København K
1433 København K
1434 København K
1435 København K
1436 København K
1436 København K
1436 København K
1436 København K
1436 København K
1436 København K
1436 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1437 København K
1438 København K
1438 København K
1438 København K
1438 København K
1438 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1439 København K
1440 København K
1440 København K
1440 København K
1440 København K
1440 København K
1440 København K
1440 København K
1440 København K
1440 København K
1440 København K
1440 København K
1441 København K
1441 København K
1441 København K
1448 København K
1450 København K
1451 København K
1452 København K
1453 København K
1454 København K
1455 København K
1456 København K
1457 København K
1458 København K
1459 København K
1460 København K
1461 København K
1462 København K
1463 København K
1464 København K
1465 København K
1466 København K
1467 København K
1468 København K
1470 København K
1471 København K
1472 København K
1473 København K
1500 København V
1501 København V
1502 København V
1503 København V
1504 København V
1505 København V
1506 København V
1507 København V
1508 København V
1509 København V
1510 København V
1512 Returpost
1513 Centraltastning
1532 København V
1533 København V
1550 København V
1550 København V
1551 København V
1552 København V
1553 København V
1553 København V
1554 København V
1555 København V
1556 København V
1557 København V
1558 København V
1559 København V
1560 København V
1561 København V
1561 København V
1562 København V
1563 København V
1564 København V
1566 København V
1567 København V
1568 København V
1569 København V
1570 København V
1570 København V
1571 København V
1572 København V
1573 København V
1574 København V
1575 København V
1576 København V
1577 København V
1577 København V
1577 København V
1592 København V
1599 København V
1600 København V
1601 København V
1602 København V
1603 København V
1604 København V
1605 København V
1606 København V
1607 København V
1608 København V
1609 København V
1610 København V
1611 København V
1612 København V
1613 København V
1614 København V
1615 København V
1616 København V
1617 København V
1618 København V
1619 København V
1620 København V
1620 København V
1621 København V
1622 København V
1623 København V
1624 København V
1630 København V
1631 København V
1632 København V
1633 København V
1634 København V
1635 København V
1640 København V
1650 København V
1651 København V
1652 København V
1653 København V
1654 København V
1655 København V
1656 København V
1657 København V
1658 København V
1659 København V
1660 København V
1660 København V
1661 København V
1662 København V
1663 København V
1664 København V
1665 København V
1666 København V
1667 København V
1668 København V
1669 København V
1670 København V
1671 København V
1671 København V
1672 København V
1673 København V
1674 København V
1675 København V
1676 København V
1677 København V
1699 København V
1700 København V
1701 København V
1702 København V
1703 København V
1704 København V
1705 København V
1706 København V
1707 København V
1708 København V
1709 København V
1710 København V
1711 København V
1711 København V
1712 København V
1713 København V
1714 København V
1715 København V
1716 København V
1717 København V
1718 København V
1719 København V
1720 København V
1721 København V
1722 København V
1723 København V
1724 København V
1725 København V
1726 København V
1727 København V
1728 København V
1729 København V
1730 København V
1731 København V
1732 København V
1733 København V
1734 København V
1735 København V
1736 København V
1737 København V
1738 København V
1739 København V
1749 København V
1750 København V
1751 København V
1752 København V
1753 København V
1754 København V
1755 København V
1756 København V
1757 København V
1758 København V
1759 København V
1760 København V
1761 København V
1762 København V
1763 København V
1764 København V
1765 København V
1766 København V
1770 København V
1771 København V
1772 København V
1773 København V
1774 København V
1775 København V
1777 København V
1780 København V
1782 København V
1785 København V
1786 København V
1787 København V
1790 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1799 København V
1800 Frederiksberg C
1801 Frederiksberg C
1802 Frederiksberg C
1803 Frederiksberg C
1804 Frederiksberg C
1805 Frederiksberg C
1806 Frederiksberg C
1807 Frederiksberg C
